model,exact_model,setup,version,correct,outdated,wrong,unable_exact_match
Baseline,Baseline_L5,,27,138,157,118,87
Baseline,Baseline_L3,,26,136,157,119,88
Baseline,Baseline_P1,,25,108,193,120,79
RTA,RTA_03,,9,176,127,110,87
RTA,RTA_05,,11,171,150,95,84
RTA,RTA_07,,8,167,164,88,81
RCA,RCA,RCA_MV,39,129,199,86,86
RCA,RCA,RCA_C,25,133,194,87,86
RCA,RCA,RCA_R,26,116,127,181,76
RCA,RCA_T,RCA_MV,31,168,139,103,90
RCA,RCA_T,RCA_C,32,182,129,99,90
RCA,RCA_T,RCA_R,34,107,121,197,75
RCO,RCO_T1,,18,174,120,116,90
RCO,RCO_T07,,17,179,117,115,89
RCDS,RCDS,,5,151,159,104,86
RCDS,RCDS_D,,9,149,153,107,91
RCDS,RCDS_TS,,15,162,135,116,87
